channel,comment
5,Channel 5: Huge fluctuation from 15.86 µV to 65.99 µV at sample 639.
5,Channel 5: Huge fluctuation from 85.85 µV to 34.40 µV at sample 674.
5,Channel 5: Huge fluctuation from 36.02 µV to -14.10 µV at sample 695.
5,Channel 5: Huge fluctuation from 126.03 µV to 74.48 µV at sample 703.
5,Channel 5: Huge fluctuation from 13.89 µV to 65.20 µV at sample 719.
5,Channel 5: Huge fluctuation from 63.48 µV to 114.78 µV at sample 810.
5,Channel 5: Huge fluctuation from 14.16 µV to 66.62 µV at sample 829.
5,Channel 5: Huge fluctuation from 83.58 µV to 33.52 µV at sample 844.
5,Channel 5: Huge fluctuation from 14.65 µV to 66.52 µV at sample 859.
5,Channel 5: Huge fluctuation from 86.50 µV to 34.14 µV at sample 864.
5,Channel 5: Huge fluctuation from -22.85 µV to 27.95 µV at sample 878.
5,Channel 5: Huge fluctuation from 13.31 µV to 66.84 µV at sample 909.
5,Channel 5: Huge fluctuation from 16.83 µV to 67.11 µV at sample 929.
5,Channel 5: Huge fluctuation from 16.06 µV to 67.27 µV at sample 959.
5,Channel 5: Huge fluctuation from 36.46 µV to -14.57 µV at sample 995.
5,Channel 5: Huge fluctuation from 84.61 µV to 33.77 µV at sample 1054.
5,Channel 5: Huge fluctuation from 85.74 µV to 33.04 µV at sample 1064.
5,Channel 5: Huge fluctuation from 15.99 µV to 67.13 µV at sample 1109.
5,Channel 5: Huge fluctuation from 37.03 µV to -13.93 µV at sample 1145.
5,Channel 5: Huge fluctuation from 38.90 µV to -12.15 µV at sample 1175.
5,Channel 5: Huge fluctuation from 126.95 µV to 73.83 µV at sample 1193.
5,Channel 5: Huge fluctuation from 86.28 µV to 33.33 µV at sample 1204.
5,Channel 5: Huge fluctuation from 63.09 µV to 113.11 µV at sample 1210.
5,Channel 5: Huge fluctuation from 83.57 µV to 33.34 µV at sample 1254.
5,Channel 5: Huge fluctuation from 64.89 µV to 114.90 µV at sample 1300.
5,Channel 5: Huge fluctuation from 126.46 µV to 75.68 µV at sample 1323.
5,Channel 5: Huge fluctuation from 16.14 µV to 66.33 µV at sample 1399.
5,Channel 5: Huge fluctuation from -24.61 µV to 25.51 µV at sample 1438.
5,Channel 5: Huge fluctuation from 82.74 µV to 32.53 µV at sample 1474.
5,Channel 5: Huge fluctuation from 37.35 µV to -12.80 µV at sample 1485.
5,Channel 5: Huge fluctuation from 63.63 µV to 114.05 µV at sample 1520.
5,Channel 5: Huge fluctuation from -26.54 µV to 27.54 µV at sample 1548.
5,Channel 5: Huge fluctuation from 15.10 µV to 65.74 µV at sample 1559.
5,Channel 5: Huge fluctuation from -24.23 µV to 27.59 µV at sample 1608.
5,Channel 5: Huge fluctuation from 124.51 µV to 73.31 µV at sample 1663.
5,Channel 5: Huge fluctuation from 85.92 µV to 35.09 µV at sample 1714.
5,Channel 5: Huge fluctuation from 125.98 µV to 72.30 µV at sample 1853.
5,Channel 5: Huge fluctuation from 85.72 µV to 35.60 µV at sample 1874.
5,Channel 5: Huge fluctuation from 14.18 µV to 66.94 µV at sample 1909.
5,Channel 5: Huge fluctuation from -26.63 µV to 23.69 µV at sample 1928.
5,Channel 5: Huge fluctuation from 36.70 µV to -14.78 µV at sample 1985.
5,Channel 5: Huge fluctuation from 38.39 µV to -15.04 µV at sample 2035.
5,Channel 5: Huge fluctuation from 37.58 µV to -14.37 µV at sample 2065.
5,Channel 5: Huge fluctuation from 62.41 µV to 112.91 µV at sample 2070.
5,Channel 5: Huge fluctuation from 16.31 µV to 67.19 µV at sample 2099.
5,Channel 5: Huge fluctuation from 15.39 µV to 66.10 µV at sample 2129.
5,Channel 5: Huge fluctuation from 61.72 µV to 114.23 µV at sample 2140.
5,Channel 5: Huge fluctuation from 13.30 µV to 65.16 µV at sample 2169.
5,Channel 5: Huge fluctuation from 61.63 µV to 112.29 µV at sample 2180.
5,Channel 5: Huge fluctuation from 13.55 µV to 64.41 µV at sample 2199.
5,Channel 5: Huge fluctuation from 37.49 µV to -14.82 µV at sample 2205.
5,Channel 5: Huge fluctuation from 37.28 µV to -14.61 µV at sample 2255.
5,Channel 5: Huge fluctuation from 38.43 µV to -12.86 µV at sample 2295.
5,Channel 5: Huge fluctuation from 86.57 µV to 34.54 µV at sample 2344.
5,Channel 5: Huge fluctuation from 86.56 µV to 33.06 µV at sample 2354.
5,Channel 5: Huge fluctuation from 36.33 µV to -14.53 µV at sample 2425.
5,Channel 5: Huge fluctuation from 61.42 µV to 111.73 µV at sample 2470.
5,Channel 5: Huge fluctuation from 85.21 µV to 34.44 µV at sample 2484.
5,Channel 5: Huge fluctuation from 16.33 µV to 66.48 µV at sample 2499.
6,Channel 6: Huge fluctuation from 122.69 µV to 51.04 µV at sample 3.
6,Channel 6: Huge fluctuation from 51.04 µV to -23.83 µV at sample 4.
6,Channel 6: Huge fluctuation from -5.92 µV to 59.91 µV at sample 7.
6,Channel 6: Huge fluctuation from 59.91 µV to 132.63 µV at sample 8.
6,Channel 6: Huge fluctuation from 143.15 µV to 70.01 µV at sample 11.
6,Channel 6: Huge fluctuation from 70.01 µV to 14.61 µV at sample 12.
6,Channel 6: Huge fluctuation from 40.34 µV to 104.30 µV at sample 16.
6,Channel 6: Huge fluctuation from 81.99 µV to 22.12 µV at sample 20.
6,Channel 6: Huge fluctuation from 22.12 µV to -29.82 µV at sample 21.
6,Channel 6: Huge fluctuation from 9.26 µV to 80.95 µV at sample 24.
6,Channel 6: Huge fluctuation from 80.95 µV to 139.38 µV at sample 25.
6,Channel 6: Huge fluctuation from 121.28 µV to 47.11 µV at sample 28.
6,Channel 6: Huge fluctuation from 47.11 µV to -6.74 µV at sample 29.
6,Channel 6: Huge fluctuation from 4.05 µV to 59.89 µV at sample 32.
6,Channel 6: Huge fluctuation from 102.98 µV to 158.97 µV at sample 34.
6,Channel 6: Huge fluctuation from 130.36 µV to 69.92 µV at sample 36.
6,Channel 6: Huge fluctuation from 69.92 µV to -0.66 µV at sample 37.
6,Channel 6: Huge fluctuation from -26.53 µV to 42.65 µV at sample 40.
6,Channel 6: Huge fluctuation from 91.24 µV to 148.33 µV at sample 42.
6,Channel 6: Huge fluctuation from 99.12 µV to 21.76 µV at sample 45.
6,Channel 6: Huge fluctuation from 21.62 µV to 84.86 µV at sample 49.
6,Channel 6: Huge fluctuation from 84.86 µV to 148.39 µV at sample 50.
6,Channel 6: Huge fluctuation from 116.34 µV to 49.73 µV at sample 53.
6,Channel 6: Huge fluctuation from 2.98 µV to 59.87 µV at sample 57.
6,Channel 6: Huge fluctuation from 59.87 µV to 133.71 µV at sample 58.
6,Channel 6: Huge fluctuation from 71.98 µV to 2.38 µV at sample 62.
6,Channel 6: Huge fluctuation from 88.97 µV to 163.99 µV at sample 67.
6,Channel 6: Huge fluctuation from 97.27 µV to 32.63 µV at sample 70.
6,Channel 6: Huge fluctuation from 6.94 µV to 85.17 µV at sample 74.
6,Channel 6: Huge fluctuation from 85.17 µV to 141.55 µV at sample 75.
6,Channel 6: Huge fluctuation from 123.98 µV to 49.69 µV at sample 78.
6,Channel 6: Huge fluctuation from 71.83 µV to 19.86 µV at sample 87.
6,Channel 6: Huge fluctuation from -28.30 µV to 36.56 µV at sample 90.
6,Channel 6: Huge fluctuation from 36.56 µV to 101.16 µV at sample 91.
6,Channel 6: Huge fluctuation from 94.04 µV to 36.54 µV at sample 95.
6,Channel 6: Huge fluctuation from 17.61 µV to 84.67 µV at sample 99.
6,Channel 6: Huge fluctuation from 84.67 µV to 136.92 µV at sample 100.
6,Channel 6: Huge fluctuation from 110.74 µV to 51.16 µV at sample 103.
6,Channel 6: Huge fluctuation from 3.49 µV to 59.90 µV at sample 107.
6,Channel 6: Huge fluctuation from 59.90 µV to 115.76 µV at sample 108.
6,Channel 6: Huge fluctuation from 68.15 µV to 11.66 µV at sample 112.
6,Channel 6: Huge fluctuation from 43.18 µV to 106.06 µV at sample 116.
6,Channel 6: Huge fluctuation from 106.06 µV to 163.07 µV at sample 117.
6,Channel 6: Huge fluctuation from 148.46 µV to 84.34 µV at sample 119.
6,Channel 6: Huge fluctuation from 84.34 µV to 25.23 µV at sample 120.
6,Channel 6: Huge fluctuation from 13.68 µV to 77.40 µV at sample 124.
6,Channel 6: Huge fluctuation from 77.40 µV to 149.25 µV at sample 125.
6,Channel 6: Huge fluctuation from 161.70 µV to 107.95 µV at sample 127.
6,Channel 6: Huge fluctuation from 107.95 µV to 50.03 µV at sample 128.
6,Channel 6: Huge fluctuation from 50.03 µV to -9.56 µV at sample 129.
6,Channel 6: Huge fluctuation from -3.61 µV to 59.86 µV at sample 132.
6,Channel 6: Huge fluctuation from 59.86 µV to 134.30 µV at sample 133.
6,Channel 6: Huge fluctuation from 69.55 µV to 14.81 µV at sample 137.
6,Channel 6: Huge fluctuation from -25.80 µV to 38.01 µV at sample 140.
6,Channel 6: Huge fluctuation from 38.01 µV to 96.90 µV at sample 141.
6,Channel 6: Huge fluctuation from 88.87 µV to 30.55 µV at sample 145.
6,Channel 6: Huge fluctuation from 18.73 µV to 86.30 µV at sample 149.
6,Channel 6: Huge fluctuation from 86.30 µV to 137.42 µV at sample 150.
6,Channel 6: Huge fluctuation from 124.93 µV to 50.59 µV at sample 153.
6,Channel 6: Huge fluctuation from 50.59 µV to -14.79 µV at sample 154.
6,Channel 6: Huge fluctuation from -10.72 µV to 59.92 µV at sample 157.
6,Channel 6: Huge fluctuation from 59.92 µV to 131.69 µV at sample 158.
6,Channel 6: Huge fluctuation from 71.53 µV to 18.42 µV at sample 162.
6,Channel 6: Huge fluctuation from 18.42 µV to -31.71 µV at sample 163.
6,Channel 6: Huge fluctuation from 33.25 µV to 94.31 µV at sample 166.
6,Channel 6: Huge fluctuation from 94.90 µV to 33.67 µV at sample 170.
6,Channel 6: Huge fluctuation from 33.67 µV to -20.26 µV at sample 171.
6,Channel 6: Huge fluctuation from 8.61 µV to 81.37 µV at sample 174.
6,Channel 6: Huge fluctuation from 81.37 µV to 140.13 µV at sample 175.
6,Channel 6: Huge fluctuation from 165.03 µV to 102.50 µV at sample 177.
6,Channel 6: Huge fluctuation from 102.50 µV to 52.31 µV at sample 178.
6,Channel 6: Huge fluctuation from 4.24 µV to -48.12 µV at sample 180.
6,Channel 6: Huge fluctuation from 1.06 µV to 59.89 µV at sample 182.
6,Channel 6: Huge fluctuation from 59.89 µV to 129.64 µV at sample 183.
6,Channel 6: Huge fluctuation from 23.06 µV to -41.49 µV at sample 188.
6,Channel 6: Huge fluctuation from 84.72 µV to 22.72 µV at sample 195.
6,Channel 6: Huge fluctuation from 22.72 µV to -37.96 µV at sample 196.
6,Channel 6: Huge fluctuation from 13.95 µV to 75.65 µV at sample 199.
6,Channel 6: Huge fluctuation from 75.65 µV to 127.84 µV at sample 200.
6,Channel 6: Huge fluctuation from 107.96 µV to 51.72 µV at sample 203.
6,Channel 6: Huge fluctuation from 51.72 µV to -12.48 µV at sample 204.
6,Channel 6: Huge fluctuation from 6.93 µV to 59.90 µV at sample 207.
6,Channel 6: Huge fluctuation from 144.10 µV to 69.06 µV at sample 211.
6,Channel 6: Huge fluctuation from 69.06 µV to 17.07 µV at sample 212.
6,Channel 6: Huge fluctuation from 34.75 µV to 103.06 µV at sample 216.
6,Channel 6: Huge fluctuation from 103.06 µV to 164.60 µV at sample 217.
6,Channel 6: Huge fluctuation from 87.54 µV to 23.00 µV at sample 220.
6,Channel 6: Huge fluctuation from -37.40 µV to 20.73 µV at sample 223.
6,Channel 6: Huge fluctuation from 20.73 µV to 83.68 µV at sample 224.
6,Channel 6: Huge fluctuation from 83.68 µV to 148.36 µV at sample 225.
6,Channel 6: Huge fluctuation from 110.58 µV to 46.58 µV at sample 228.
6,Channel 6: Huge fluctuation from 7.36 µV to 59.90 µV at sample 232.
6,Channel 6: Huge fluctuation from 59.90 µV to 127.61 µV at sample 233.
6,Channel 6: Huge fluctuation from 69.07 µV to 3.30 µV at sample 237.
6,Channel 6: Huge fluctuation from 40.87 µV to 103.01 µV at sample 241.
6,Channel 6: Huge fluctuation from 153.38 µV to 89.99 µV at sample 244.
6,Channel 6: Huge fluctuation from 89.99 µV to 24.35 µV at sample 245.
6,Channel 6: Huge fluctuation from 12.49 µV to 83.64 µV at sample 249.
6,Channel 6: Huge fluctuation from 83.64 µV to 142.32 µV at sample 250.
6,Channel 6: Huge fluctuation from 52.45 µV to -22.20 µV at sample 254.
6,Channel 6: Huge fluctuation from -11.88 µV to 59.87 µV at sample 257.
6,Channel 6: Huge fluctuation from 137.17 µV to 73.01 µV at sample 261.
6,Channel 6: Huge fluctuation from 73.01 µV to 20.53 µV at sample 262.
6,Channel 6: Huge fluctuation from 32.90 µV to 102.93 µV at sample 266.
6,Channel 6: Huge fluctuation from 140.93 µV to 83.78 µV at sample 269.
6,Channel 6: Huge fluctuation from 83.78 µV to 29.02 µV at sample 270.
6,Channel 6: Huge fluctuation from 29.02 µV to -38.50 µV at sample 271.
6,Channel 6: Huge fluctuation from 31.06 µV to 83.73 µV at sample 274.
6,Channel 6: Huge fluctuation from 153.31 µV to 100.36 µV at sample 277.
6,Channel 6: Huge fluctuation from 100.36 µV to 49.20 µV at sample 278.
6,Channel 6: Huge fluctuation from 49.20 µV to -2.84 µV at sample 279.
6,Channel 6: Huge fluctuation from -9.66 µV to 59.87 µV at sample 282.
6,Channel 6: Huge fluctuation from 59.87 µV to 115.44 µV at sample 283.
6,Channel 6: Huge fluctuation from 127.10 µV to 73.61 µV at sample 286.
6,Channel 6: Huge fluctuation from 73.61 µV to -4.20 µV at sample 287.
6,Channel 6: Huge fluctuation from 32.49 µV to 89.50 µV at sample 291.
6,Channel 6: Huge fluctuation from 89.50 µV to 155.53 µV at sample 292.
6,Channel 6: Huge fluctuation from 91.73 µV to 33.94 µV at sample 295.
6,Channel 6: Huge fluctuation from 33.94 µV to -27.34 µV at sample 296.
6,Channel 6: Huge fluctuation from 27.10 µV to 78.21 µV at sample 299.
6,Channel 6: Huge fluctuation from 78.21 µV to 146.38 µV at sample 300.
6,Channel 6: Huge fluctuation from 52.50 µV to -19.81 µV at sample 304.
6,Channel 6: Huge fluctuation from 59.91 µV to 126.09 µV at sample 308.
6,Channel 6: Huge fluctuation from 73.37 µV to 23.16 µV at sample 312.
6,Channel 6: Huge fluctuation from 23.16 µV to -38.06 µV at sample 313.
6,Channel 6: Huge fluctuation from -27.18 µV to 36.24 µV at sample 315.
6,Channel 6: Huge fluctuation from 36.24 µV to 111.56 µV at sample 316.
6,Channel 6: Huge fluctuation from 111.56 µV to 162.72 µV at sample 317.
6,Channel 6: Huge fluctuation from 150.32 µV to 91.24 µV at sample 319.
6,Channel 6: Huge fluctuation from 91.24 µV to 31.01 µV at sample 320.
6,Channel 6: Huge fluctuation from 31.01 µV to -24.46 µV at sample 321.
6,Channel 6: Huge fluctuation from 13.10 µV to 87.10 µV at sample 324.
6,Channel 6: Huge fluctuation from -3.76 µV to 59.89 µV at sample 332.
6,Channel 6: Huge fluctuation from 59.89 µV to 110.69 µV at sample 333.
6,Channel 6: Huge fluctuation from 70.67 µV to 12.53 µV at sample 337.
6,Channel 6: Huge fluctuation from -20.69 µV to 39.36 µV at sample 340.
6,Channel 6: Huge fluctuation from 39.36 µV to 96.04 µV at sample 341.
6,Channel 6: Huge fluctuation from 96.04 µV to 161.75 µV at sample 342.
6,Channel 6: Huge fluctuation from 154.93 µV to 87.00 µV at sample 344.
6,Channel 6: Huge fluctuation from 87.00 µV to 22.71 µV at sample 345.
6,Channel 6: Huge fluctuation from 15.81 µV to 77.16 µV at sample 349.
6,Channel 6: Huge fluctuation from 113.18 µV to 52.23 µV at sample 353.
6,Channel 6: Huge fluctuation from 52.23 µV to -18.87 µV at sample 354.
6,Channel 6: Huge fluctuation from -1.67 µV to 59.87 µV at sample 357.
6,Channel 6: Huge fluctuation from 59.87 µV to 112.38 µV at sample 358.
6,Channel 6: Huge fluctuation from 112.38 µV to 162.55 µV at sample 359.
6,Channel 6: Huge fluctuation from 73.06 µV to 19.49 µV at sample 362.
6,Channel 6: Huge fluctuation from 35.37 µV to 109.80 µV at sample 366.
6,Channel 6: Huge fluctuation from 96.61 µV to 22.03 µV at sample 370.
6,Channel 6: Huge fluctuation from 22.03 µV to -31.36 µV at sample 371.
6,Channel 6: Huge fluctuation from 7.47 µV to 77.12 µV at sample 374.
6,Channel 6: Huge fluctuation from 77.12 µV to 128.80 µV at sample 375.
6,Channel 6: Huge fluctuation from 48.12 µV to -10.33 µV at sample 379.
6,Channel 6: Huge fluctuation from -0.10 µV to 59.91 µV at sample 382.
6,Channel 6: Huge fluctuation from 101.72 µV to 152.57 µV at sample 384.
6,Channel 6: Huge fluctuation from 134.77 µV to 72.29 µV at sample 386.
6,Channel 6: Huge fluctuation from 72.29 µV to 13.96 µV at sample 387.
6,Channel 6: Huge fluctuation from 13.96 µV to -36.06 µV at sample 388.
6,Channel 6: Huge fluctuation from 38.18 µV to 108.33 µV at sample 391.
6,Channel 6: Huge fluctuation from 91.26 µV to 26.73 µV at sample 395.
6,Channel 6: Huge fluctuation from 26.73 µV to -37.14 µV at sample 396.
6,Channel 6: Huge fluctuation from 13.72 µV to 76.40 µV at sample 399.
6,Channel 6: Huge fluctuation from 108.27 µV to 49.31 µV at sample 403.
6,Channel 6: Huge fluctuation from 49.31 µV to -20.33 µV at sample 404.
6,Channel 6: Huge fluctuation from -2.51 µV to 59.88 µV at sample 407.
6,Channel 6: Huge fluctuation from 124.27 µV to 70.37 µV at sample 411.
6,Channel 6: Huge fluctuation from -15.63 µV to 41.61 µV at sample 415.
6,Channel 6: Huge fluctuation from 41.61 µV to 111.52 µV at sample 416.
6,Channel 6: Huge fluctuation from 157.71 µV to 98.60 µV at sample 419.
6,Channel 6: Huge fluctuation from 98.60 µV to 28.48 µV at sample 420.
6,Channel 6: Huge fluctuation from 12.53 µV to 83.15 µV at sample 424.
6,Channel 6: Huge fluctuation from 98.77 µV to 47.43 µV at sample 428.
6,Channel 6: Huge fluctuation from 47.43 µV to -15.39 µV at sample 429.
6,Channel 6: Huge fluctuation from 3.93 µV to 59.86 µV at sample 432.
6,Channel 6: Huge fluctuation from 102.75 µV to 152.84 µV at sample 434.
6,Channel 6: Huge fluctuation from 21.23 µV to -32.45 µV at sample 438.
6,Channel 6: Huge fluctuation from -20.64 µV to 35.93 µV at sample 440.
6,Channel 6: Huge fluctuation from 35.93 µV to 96.84 µV at sample 441.
6,Channel 6: Huge fluctuation from 155.06 µV to 93.48 µV at sample 444.
6,Channel 6: Huge fluctuation from 93.48 µV to 30.52 µV at sample 445.
6,Channel 6: Huge fluctuation from -31.00 µV to 28.31 µV at sample 448.
6,Channel 6: Huge fluctuation from 28.31 µV to 81.13 µV at sample 449.
6,Channel 6: Huge fluctuation from 81.13 µV to 149.47 µV at sample 450.
6,Channel 6: Huge fluctuation from 122.65 µV to 52.15 µV at sample 453.
6,Channel 6: Huge fluctuation from 52.15 µV to -3.71 µV at sample 454.
6,Channel 6: Huge fluctuation from 0.94 µV to 59.86 µV at sample 457.
6,Channel 6: Huge fluctuation from 59.86 µV to 123.81 µV at sample 458.
6,Channel 6: Huge fluctuation from 123.55 µV to 73.41 µV at sample 461.
6,Channel 6: Huge fluctuation from 73.41 µV to 20.60 µV at sample 462.
6,Channel 6: Huge fluctuation from 20.60 µV to -46.50 µV at sample 463.
6,Channel 6: Huge fluctuation from -12.23 µV to 42.60 µV at sample 465.
6,Channel 6: Huge fluctuation from 91.47 µV to 164.84 µV at sample 467.
6,Channel 6: Huge fluctuation from 88.68 µV to 31.60 µV at sample 470.
6,Channel 6: Huge fluctuation from 75.37 µV to 144.65 µV at sample 475.
6,Channel 6: Huge fluctuation from 116.49 µV to 50.07 µV at sample 478.
6,Channel 6: Huge fluctuation from -9.57 µV to 59.87 µV at sample 482.
6,Channel 6: Huge fluctuation from 70.39 µV to 1.56 µV at sample 487.
6,Channel 6: Huge fluctuation from 32.50 µV to 94.20 µV at sample 491.
6,Channel 6: Huge fluctuation from 94.20 µV to 147.51 µV at sample 492.
6,Channel 6: Huge fluctuation from 143.04 µV to 87.93 µV at sample 494.
6,Channel 6: Huge fluctuation from 87.93 µV to 21.78 µV at sample 495.
6,Channel 6: Huge fluctuation from -39.93 µV to 23.22 µV at sample 498.
6,Channel 6: Huge fluctuation from 23.22 µV to 79.55 µV at sample 499.
6,Channel 6: Huge fluctuation from 119.97 µV to 48.88 µV at sample 503.
6,Channel 6: Huge fluctuation from 48.88 µV to -3.49 µV at sample 504.
6,Channel 6: Huge fluctuation from -13.46 µV to 59.87 µV at sample 507.
6,Channel 6: Huge fluctuation from 59.87 µV to 115.01 µV at sample 508.
6,Channel 6: Huge fluctuation from 132.55 µV to 69.76 µV at sample 511.
6,Channel 6: Huge fluctuation from 34.47 µV to 97.13 µV at sample 516.
6,Channel 6: Huge fluctuation from 90.97 µV to 34.36 µV at sample 520.
6,Channel 6: Huge fluctuation from 15.85 µV to 82.65 µV at sample 524.
6,Channel 6: Huge fluctuation from 82.65 µV to 139.81 µV at sample 525.
6,Channel 6: Huge fluctuation from 161.89 µV to 103.83 µV at sample 527.
6,Channel 6: Huge fluctuation from 103.83 µV to 50.95 µV at sample 528.
6,Channel 6: Huge fluctuation from 50.95 µV to 0.84 µV at sample 529.
6,Channel 6: Huge fluctuation from -6.55 µV to 59.90 µV at sample 532.
6,Channel 6: Huge fluctuation from 59.90 µV to 126.63 µV at sample 533.
6,Channel 6: Huge fluctuation from 126.12 µV to 70.95 µV at sample 536.
6,Channel 6: Huge fluctuation from -10.78 µV to 44.46 µV at sample 540.
6,Channel 6: Huge fluctuation from 44.46 µV to 106.88 µV at sample 541.
6,Channel 6: Huge fluctuation from 137.12 µV to 84.45 µV at sample 544.
6,Channel 6: Huge fluctuation from 36.22 µV to -21.75 µV at sample 546.
6,Channel 6: Huge fluctuation from 21.98 µV to 79.41 µV at sample 549.
6,Channel 6: Huge fluctuation from 79.41 µV to 143.11 µV at sample 550.
6,Channel 6: Huge fluctuation from 117.77 µV to 52.29 µV at sample 553.
6,Channel 6: Huge fluctuation from 52.29 µV to -17.05 µV at sample 554.
6,Channel 6: Huge fluctuation from 8.02 µV to 59.87 µV at sample 557.
6,Channel 6: Huge fluctuation from 59.87 µV to 110.49 µV at sample 558.
6,Channel 6: Huge fluctuation from 137.62 µV to 68.50 µV at sample 561.
6,Channel 6: Huge fluctuation from 68.50 µV to 17.30 µV at sample 562.
6,Channel 6: Huge fluctuation from -30.47 µV to 38.70 µV at sample 565.
6,Channel 6: Huge fluctuation from 38.70 µV to 93.34 µV at sample 566.
6,Channel 6: Huge fluctuation from 151.10 µV to 86.05 µV at sample 569.
6,Channel 6: Huge fluctuation from 86.05 µV to 19.93 µV at sample 570.
6,Channel 6: Huge fluctuation from 20.16 µV to 80.36 µV at sample 574.
6,Channel 6: Huge fluctuation from 80.36 µV to 150.03 µV at sample 575.
6,Channel 6: Huge fluctuation from 109.53 µV to 47.78 µV at sample 578.
6,Channel 6: Huge fluctuation from 47.78 µV to -9.51 µV at sample 579.
6,Channel 6: Huge fluctuation from 24.82 µV to -48.00 µV at sample 588.
6,Channel 6: Huge fluctuation from -15.52 µV to 43.68 µV at sample 590.
6,Channel 6: Huge fluctuation from 43.68 µV to 101.18 µV at sample 591.
6,Channel 6: Huge fluctuation from 90.17 µV to 30.11 µV at sample 595.
6,Channel 6: Huge fluctuation from 19.18 µV to 86.77 µV at sample 599.
6,Channel 6: Huge fluctuation from 86.77 µV to 145.44 µV at sample 600.
6,Channel 6: Huge fluctuation from 117.06 µV to 47.93 µV at sample 603.
6,Channel 6: Huge fluctuation from 47.93 µV to -5.99 µV at sample 604.
6,Channel 6: Huge fluctuation from -15.17 µV to 59.92 µV at sample 607.
6,Channel 6: Huge fluctuation from 59.92 µV to 110.67 µV at sample 608.
6,Channel 6: Huge fluctuation from 69.57 µV to -2.38 µV at sample 612.
6,Channel 6: Huge fluctuation from 40.37 µV to 102.50 µV at sample 616.
6,Channel 6: Huge fluctuation from 91.44 µV to 23.05 µV at sample 620.
6,Channel 6: Huge fluctuation from 23.05 µV to -30.71 µV at sample 621.
6,Channel 6: Huge fluctuation from 14.23 µV to 76.52 µV at sample 624.
6,Channel 6: Huge fluctuation from 165.06 µV to 100.71 µV at sample 627.
6,Channel 6: Huge fluctuation from 100.71 µV to 50.60 µV at sample 628.
6,Channel 6: Huge fluctuation from 50.60 µV to -1.27 µV at sample 629.
6,Channel 6: Huge fluctuation from -15.01 µV to 59.86 µV at sample 632.
6,Channel 6: Huge fluctuation from 59.86 µV to 112.48 µV at sample 633.
6,Channel 6: Huge fluctuation from 112.48 µV to 165.92 µV at sample 634.
6,Channel 6: Huge fluctuation from 133.24 µV to 71.92 µV at sample 636.
6,Channel 6: Huge fluctuation from 71.92 µV to 5.08 µV at sample 637.
6,Channel 6: Huge fluctuation from 39.89 µV to 111.65 µV at sample 641.
6,Channel 6: Huge fluctuation from 99.01 µV to 34.59 µV at sample 645.
6,Channel 6: Huge fluctuation from 23.79 µV to 75.49 µV at sample 649.
6,Channel 6: Huge fluctuation from 113.67 µV to 48.41 µV at sample 653.
6,Channel 6: Huge fluctuation from -47.55 µV to 17.33 µV at sample 656.
6,Channel 6: Huge fluctuation from 130.85 µV to 67.97 µV at sample 661.
6,Channel 6: Huge fluctuation from 67.97 µV to 13.66 µV at sample 662.
6,Channel 6: Huge fluctuation from -9.28 µV to 44.62 µV at sample 665.
6,Channel 6: Huge fluctuation from 89.63 µV to 26.23 µV at sample 670.
6,Channel 6: Huge fluctuation from 28.83 µV to 82.71 µV at sample 674.
6,Channel 6: Huge fluctuation from 82.71 µV to 148.63 µV at sample 675.
